super + q	Close Window
super + shift + r	Restart Chadwm
super + b	Toggle Bar
super + right	Focus Next Window
super + left	Focus Previous Window
super + l	Resize Window Right
super + h	Resize Window Left
super + shift + space	Toggle Floating
super + shift + j	Swap Window
super + shift + k	Swap Window
super + control + F1	[]  - Tiling Mode
super + control + F2	@   - Spiral Mode
super + control + F3	TTT - Bstack Mode
super + control + F4	=== - BstackHorz Mode 
super + control + F5	HHH - Grid Mode
super + control + F6	|M| - Centered Master Mode
super + control + P Change Between Layouts Mode
